Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Search_Volume_Category,Product_Category,Competition_Category,normalized_searches,normalized_competition,Opportunity_Score,Opportunity_Category
coach bags,INR,500000,0.0,0.0,High,100.0,98.42,149.77,High User Searched,handbags_purses,High,0.1,1.0,-34.0,Low Opportunity
coach purse,INR,500000,0.0,0.0,High,100.0,66.75,149.77,High User Searched,handbags_purses,High,0.1,1.0,-34.0,Low Opportunity
coach wallet,INR,500000,0.0,0.0,High,100.0,66.75,149.77,High User Searched,wallets,High,0.1,1.0,-34.0,Low Opportunity
coach backpack,INR,50000,0.0,0.0,High,100.0,83.01,149.77,Moderate Visits,backpacks,High,0.01,1.0,-39.4,Low Opportunity
coach shoes,INR,500000,0.0,0.0,High,100.0,76.17,149.77,High User Searched,shoes,High,0.1,1.0,-34.0,Low Opportunity
coach tote bag,INR,50000,0.0,0.0,High,100.0,77.88,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach handbags,INR,50000,0.0,0.0,High,100.0,87.27,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach crossbody,INR,50000,0.0,0.0,High,100.0,65.04,149.77,Moderate Visits,crossbody_bags,High,0.01,1.0,-39.4,Low Opportunity
coach black friday,INR,5000,0.0,0.0,Medium,45.0,,,Moderate Visits,general_coach,Medium,0.001,0.45,-17.940000000000005,Low Opportunity
coach outlet online,INR,50000,-0.9,-0.9,High,100.0,57.34,256.74,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coach sale,INR,50000,0.0,0.0,High,100.0,29.1,149.77,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coachoutlet,INR,5000000,0.0,0.0,High,100.0,29.95,29.95,High User Searched,general_coach,High,1.0,1.0,19.999999999999996,Low Opportunity
coach wallet women,INR,50000,0.0,0.0,High,100.0,39.34,149.77,Moderate Visits,wallets,High,0.01,1.0,-39.4,Low Opportunity
coach crossbody bag,INR,50000,0.0,0.0,High,100.0,53.92,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach bags on sale,INR,50000,0.0,-0.9,High,100.0,29.95,204.54,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach wallet men,INR,50000,0.0,0.0,High,100.0,56.48,149.77,Moderate Visits,wallets,High,0.01,1.0,-39.4,Low Opportunity
coach outlet near me,INR,50000,0.0,0.0,High,100.0,27.39,108.69,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coach tote,INR,50000,0.0,0.0,High,100.0,79.59,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach shoes women,INR,50000,0.0,0.0,High,100.0,32.55,149.77,Moderate Visits,shoes,High,0.01,1.0,-39.4,Low Opportunity
coach outlet sale,INR,500000,0.0,0.0,High,100.0,41.93,256.74,High User Searched,general_coach,High,0.1,1.0,-34.0,Low Opportunity
coach purses on sale,INR,5000,-0.9,0.0,High,100.0,21.4,190.85,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bags for women,INR,50000,-0.9,-0.9,High,100.0,35.94,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach backpack purse,INR,5000,0.0,0.0,High,100.0,49.64,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach store,INR,50000,0.0,0.0,High,100.0,138.64,149.77,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coach cross body bag,INR,50000,0.0,0.0,High,100.0,53.92,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach backpack women,INR,50000,0.0,0.0,High,100.0,57.34,149.77,Moderate Visits,backpacks,High,0.01,1.0,-39.4,Low Opportunity
coach black friday sale,INR,5000,0.0,9.0,High,100.0,,,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach sling bag,INR,5000,0.0,0.0,High,100.0,77.02,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach shoes men,INR,5000,9.0,9.0,High,100.0,72.74,149.77,Moderate Visits,shoes,High,0.001,1.0,-39.940000000000005,Low Opportunity
pink coach purse,INR,50000,0.0,0.0,High,100.0,69.32,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach men bag,INR,50000,0.0,-0.9,High,100.0,77.02,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach backpack men,INR,5000,0.0,0.0,High,100.0,85.58,149.77,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach messenger bag,INR,5000,0.0,0.0,High,100.0,84.5,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet clearance,INR,5000,-0.9,0.0,High,100.0,30.81,206.25,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach mini backpack,INR,5000,0.0,0.0,High,100.0,52.2,149.77,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
pink coach bag,INR,50000,9.0,9.0,High,100.0,67.61,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach crossbody bag women,INR,5000,0.0,0.0,High,100.0,45.36,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody purse,INR,50000,0.0,0.0,High,100.0,53.92,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach website,INR,5000,0.0,0.0,High,98.0,149.77,149.77,Moderate Visits,general_coach,High,0.001,0.98,-39.14,Low Opportunity
coach factory,INR,5000,0.0,0.0,High,100.0,204.54,204.54,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach white bag,INR,50000,0.0,0.0,High,100.0,95.85,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach black purse,INR,50000,0.0,0.0,High,100.0,95.85,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
black coach bag,INR,50000,0.0,0.0,High,100.0,95.85,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach outlet usa,INR,5000,0.0,0.0,High,100.0,3.42,210.53,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet black friday,INR,5000,0.0,9.0,High,73.0,111.78,256.74,Moderate Visits,general_coach,High,0.001,0.73,-29.14,Low Opportunity
coach handbags sale,INR,50000,0.0,0.0,High,100.0,29.1,172.87,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
men's coach,INR,5000,0.0,0.0,High,100.0,47.07,149.77,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach clearance,INR,5000,0.0,0.0,High,100.0,52.2,190.85,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet handbags,INR,50000,0.0,0.0,High,100.0,53.06,218.23,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach handbags for women,INR,50000,0.0,0.0,High,100.0,47.36,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach purse outlet,INR,5000,0.0,0.0,High,100.0,41.08,198.55,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
white coach purse,INR,50000,0.0,0.0,High,100.0,95.85,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach outlet backpack,INR,5000,0.0,0.0,High,100.0,70.6,251.61,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach small wallet,INR,5000,0.0,0.0,High,100.0,50.49,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody sale,INR,5000,0.0,0.0,High,100.0,17.97,126.66,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach official site,INR,5000,0.0,0.0,High,100.0,149.77,149.77,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody bag sale,INR,5000,0.0,0.0,High,100.0,17.12,106.12,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bags outlet,INR,50000,0.0,0.0,High,100.0,53.06,218.23,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach side bag,INR,5000,0.0,0.0,High,100.0,85.58,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet crossbody,INR,5000,0.0,0.0,High,100.0,53.92,217.38,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach sling bag women,INR,5000,0.0,0.0,High,100.0,41.93,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach sneakers men,INR,5000,0.0,0.0,High,100.0,75.31,149.77,Moderate Visits,shoes,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach hand bag,INR,500000,0.0,0.0,High,100.0,98.42,149.77,High User Searched,handbags_purses,High,0.1,1.0,-34.0,Low Opportunity
coach leather backpack,INR,5000,0.0,0.0,High,100.0,71.03,149.77,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach city tote,INR,5000,0.0,0.0,High,100.0,62.47,225.93,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach pocketbooks,INR,5000,0.0,0.0,High,100.0,23.11,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
green coach purse,INR,50000,0.0,0.0,High,100.0,99.27,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach outlet store,INR,5000,0.0,0.0,High,100.0,23.96,126.66,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach black crossbody,INR,5000,0.0,0.0,High,100.0,83.87,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody bags for women,INR,5000,0.0,0.0,High,100.0,36.8,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach tote purse,INR,50000,0.0,0.0,High,100.0,77.88,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
green coach bag,INR,50000,0.0,0.0,High,100.0,99.27,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
blue coach purse,INR,50000,0.0,9.0,High,100.0,88.15,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach outlet wallet,INR,50000,0.0,0.0,High,100.0,58.2,213.1,Moderate Visits,wallets,High,0.01,1.0,-39.4,Low Opportunity
women's coach outlet,INR,5000,0.0,9.0,High,100.0,37.66,256.74,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach loafers men,INR,5000,0.0,0.0,High,100.0,128.37,149.77,Moderate Visits,shoes,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach leather bag,INR,5000,0.0,0.0,High,100.0,149.77,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach reserve,INR,5000,0.0,0.0,High,100.0,,,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
pink coach wallet,INR,50000,9.0,9.0,High,100.0,14.55,53.92,Moderate Visits,wallets,High,0.01,1.0,-39.4,Low Opportunity
coach outlet clearance sale,INR,5000,0.0,0.0,High,100.0,23.11,207.96,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach usa sale,INR,5000,0.0,0.0,High,100.0,17.97,142.06,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach small crossbody,INR,5000,0.0,0.0,High,100.0,59.05,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach large tote,INR,5000,0.0,0.0,High,100.0,31.67,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach sling bag for men,INR,5000,0.0,0.0,High,100.0,74.46,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach signature crossbody bag,INR,5000,0.0,0.0,High,100.0,26.53,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody bag men,INR,5000,0.0,0.0,High,100.0,100.99,154.05,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
black coach wallet,INR,5000,0.0,0.0,High,100.0,77.02,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach factory outlet,INR,5000,0.0,0.0,High,100.0,86.44,256.74,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach tote bag outlet,INR,5000,0.0,0.0,High,100.0,65.04,243.91,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody men,INR,5000,0.0,0.0,High,100.0,82.16,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach boots mens,INR,5000,0.0,0.0,High,100.0,29.95,144.2,Moderate Visits,shoes,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet tote,INR,5000,0.0,0.0,High,100.0,86.44,256.74,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach man purse,INR,50000,0.0,0.0,High,100.0,73.6,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
